Model_Type,Dataset,Mutation_Level,Mutate_time,Number_of_Mutants,Number_of_Clusters,Neurons_per_Cluster_param,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.429159641,450,150,1,50,50,50,0.044715643,0.662716049,441.8164275,442.2903028
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.427536488,450,150,1,50,50,50,0.041688204,0.662716049,443.3516176,443.8208423
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.430695534,450,150,1,50,50,50,0.043442488,0.662716049,444.5544813,445.0286193
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.415515184,450,150,1,50,50,50,0.045444965,0.662716049,443.4894588,443.9504189
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.408113956,450,150,1,50,50,50,0.049872637,0.662716049,442.1505098,442.6084964
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.410225391,450,150,1,50,50,50,0.041416168,0.662716049,444.0175369,444.4691784
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.209226608,225,75,2,25,25,25,0.028675318,0.731193416,218.1983488,218.4362507
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.219127893,225,75,2,25,25,25,0.027121305,0.731193416,221.898555,222.1448042
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.215601683,225,75,2,25,25,25,0.025630236,0.731193416,218.9032233,219.1444552
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.227007627,225,75,2,25,25,25,0.031859398,0.731193416,221.241116,221.4999831
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.220894337,225,75,2,25,25,25,0.02872467,0.731193416,219.2088232,219.4584422
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.217288733,225,75,2,25,25,25,0.025900841,0.731193416,218.5401871,218.7833767
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.152640343,153,51,3,17,17,17,0.023099184,0.75768579,150.3998115,150.575551
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.153768539,153,51,3,17,17,17,0.022318363,0.75768579,150.2121193,150.3882062
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.149433613,153,51,3,17,17,17,0.023517132,0.75768579,151.7509358,151.9238865
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.152769089,153,51,3,17,17,17,0.021691084,0.75768579,149.1353297,149.3097899
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.151018858,153,51,3,17,17,17,0.022356987,0.75768579,151.5426028,151.7159786
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.152500629,153,51,3,17,17,17,0.020107985,0.75768579,152.2070911,152.3796997
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.114143848,117,39,4,13,13,13,0.018682241,0.761633428,114.4965718,114.6293979
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.11438036,117,39,4,13,13,13,0.020805597,0.761633428,114.0075555,114.1427414
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.114230871,117,39,4,13,13,13,0.018685341,0.761633428,115.190748,115.3236642
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.115374565,117,39,4,13,13,13,0.019322872,0.761633428,113.8930495,114.0277469
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.116338253,117,39,4,13,13,13,0.019031763,0.761633428,114.2503369,114.3857069
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.114842176,117,39,4,13,13,13,0.016922712,0.761633428,114.3415141,114.473279
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.08871603,90,30,5,10,10,10,0.017243385,0.774074074,89.4592979,89.56525731
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.089130402,90,30,5,10,10,10,0.01791048,0.774074074,89.28405595,89.39109683
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.085897207,90,30,5,10,10,10,0.0172019,0.774074074,88.9722209,89.07532001
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.091937065,90,30,5,10,10,10,0.016431808,0.774074074,88.91563702,89.02400589
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.092480183,90,30,5,10,10,10,0.016863823,0.774074074,88.58911633,88.69846034
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.087798357,90,30,5,10,10,10,0.015238523,0.774074074,88.48609805,88.58913493
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.079758167,81,27,6,9,9,9,0.014315605,0.767718336,79.81138086,79.90545464
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.077141285,81,27,6,9,9,9,0.014454842,0.767718336,79.8222487,79.91384482
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.079592705,81,27,6,9,9,9,0.014682293,0.767718336,79.67998314,79.77425814
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.079432487,81,27,6,9,9,9,0.015362978,0.767718336,79.00400138,79.09879684
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.078382492,81,27,6,9,9,9,0.014506578,0.767718336,79.03414154,79.12703061
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.080340385,81,27,6,9,9,9,0.01611352,0.767718336,79.94720745,80.04366136
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.068799734,72,24,7,8,8,8,0.014675617,0.765946502,70.33159399,70.41506934
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.068598986,72,24,7,8,8,8,0.015371084,0.765946502,71.49926877,71.58323884
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.067774534,72,24,7,8,8,8,0.015361547,0.765946502,70.14437938,70.22751546
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.068912745,72,24,7,8,8,8,0.014252186,0.765946502,70.34451604,70.42768097
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.067873716,72,24,7,8,8,8,0.014546156,0.765946502,71.51734638,71.59976625
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.071483135,72,24,7,8,8,8,0.015537024,0.765946502,70.74908423,70.83610439
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.06035018,63,21,8,7,7,7,0.013943911,0.80952381,62.04966378,62.12395787
