Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.514328957,531,0.1,20,150,1,26.55,7.264697313,0.641975309,2.988942862,536.0219328
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.507148266,531,0.1,17,150,1,31.23529412,7.262070417,0.308641975,3.013531685,532.1573682
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.49537468,531,0.1,14,150,1,37.92857143,6.884527922,0.604938272,2.968779802,527.2223413
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.527780533,531,0.1,19,150,1,27.94736842,7.344056845,0.518518519,3.021560192,521.0909126
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.527014256,531,0.1,18,150,1,29.5,7.415952921,0.62962963,2.940772295,526.1713202
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.484204531,531,0.1,14,150,1,37.92857143,7.054662228,0.395061728,2.931882381,521.8334177
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.519225359,531,0.2,209,150,1,2.540669856,7.226819992,0.812674897,143.109628,534.8674929
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.495909691,531,0.2,217,150,1,2.447004608,7.370292187,0.655144033,147.3928499,530.6021419
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.511850119,531,0.2,210,150,1,2.528571429,6.800649166,0.674979424,139.3356228,526.9132402
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.519740582,531,0.2,204,150,1,2.602941176,7.333260775,0.733909465,133.2600765,526.8343697
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499263525,531,0.2,216,150,1,2.458333333,7.250020027,0.678518519,139.2305424,533.8538766
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.493308783,531,0.2,211,150,1,2.516587678,7.172626495,0.625102881,130.9675362,517.9721968
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.495257378,531,0.3,335,140,1,1.585074627,7.080921173,0.755555556,254.9660423,539.6234291
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.52292347,531,0.3,336,137,1,1.580357143,7.119101048,0.757942387,251.9252224,536.6782372
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.516701221,531,0.3,336,139,1,1.580357143,7.264059067,0.668148148,251.5142376,532.8123982
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.490321875,531,0.3,332,145,1,1.59939759,6.825899124,0.455308642,254.41453,517.5619705
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.492236376,531,0.3,334,140,1,1.589820359,7.164295673,0.465843621,252.5946796,531.1959326
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.49526,531,0.3,336,140,1,1.580357143,6.819503784,0.69127572,256.8538361,525.4180024
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.494731903,531,0.35,373,114,1,1.423592493,7.163157701,0.607654321,288.8422039,533.6917083
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.489150763,531,0.35,367,120,1,1.446866485,7.07837534,0.467654321,281.7184083,531.4969108
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.494401932,531,0.35,373,113,1,1.423592493,7.136517286,0.543950617,289.4570339,534.0860608
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499049902,531,0.35,368,117,1,1.442934783,6.770031214,0.726502058,295.5264497,520.5336096
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.509910345,531,0.35,368,119,1,1.442934783,7.111900806,0.739423868,295.0713608,530.1330955
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.491874933,531,0.35,368,118,1,1.442934783,6.903219223,0.484444444,284.7866387,513.8791306
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.493307829,531,0.4,404,96,1,1.314356436,7.179282188,0.717119342,320.1605978,533.7491264
